OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
123,0,0,123,9.0384312,3273822.680559717118740,476257.396871532313526,3,9.038431167602539
124,0,0,124,9.1090975,3273823.424913702532649,476260.303060989826918,3,9.109097480773926
125,0,0,125,9.1693068,3273824.169267682358623,476263.209250442683697,3,9.169306755065918
126,0,0,126,9.1192513,3273824.913621665909886,476266.115439898334444,3,9.119251251220703
127,0,0,127,9.0083513,3273825.657975647598505,476269.021629353053868,3,9.008351325988770
128,0,0,128,8.8007021,3273826.402329631149769,476271.927818808704615,3,8.800702095031738
129,0,0,129,8.8007021,3273827.146683616563678,476274.834008263424039,3,8.800702095031738
130,0,0,130,8.8226376,3273827.891037596389651,476277.740197719074786,3,8.822637557983398
131,0,0,131,8.9184303,3273828.635391579940915,476280.646387173794210,3,8.918430328369141
132,0,0,132,9.0254307,3273829.379745559766889,476283.552576627582312,3,9.025430679321289
133,0,0,133,9.0429897,3273830.124099545180798,476286.458766085095704,3,9.042989730834961
134,0,0,134,9.0074863,3273830.868453525006771,476289.364955537952483,3,9.007486343383789
135,0,0,135,8.8668079,3273831.612807508558035,476292.271144992671907,3,8.866807937622070
136,0,0,136,8.5042934,3273832.357161493971944,476295.177334448322654,3,8.504293441772461
137,0,0,137,8.2701006,3273833.101515473797917,476298.083523903973401,3,8.270100593566895
138,0,0,138,7.9546685,3273833.845869459211826,476300.989713358692825,3,7.954668521881104
139,0,0,139,7.5935507,3273834.590223439037800,476303.895902814343572,3,7.593550682067871
140,0,0,140,7.5935507,3273835.334577422589064,476306.802092269062996,3,7.593550682067871
141,0,0,141,7.4520469,3273836.078931408002973,476309.708281722851098,3,7.452046871185303
142,0,0,142,7.3938441,3273836.823285387828946,476312.614471180364490,3,7.393844127655029
143,0,0,143,7.4665890,3273837.567639371380210,476315.520660633221269,3,7.466588973999023
144,0,0,144,7.5804114,3273838.311993351206183,476318.426850087940693,3,7.580411434173584
145,0,0,145,7.7490802,3273839.056347336620092,476321.333039543591440,3,7.749080181121826
146,0,0,146,7.9765911,3273839.800701320171356,476324.239228999242187,3,7.976591110229492
147,0,0,147,8.0239325,3273840.545055301859975,476327.145418453961611,3,8.023932456970215
148,0,0,148,7.0559630,3273841.289409285411239,476330.051607909612358,3,7.055963039398193
149,0,0,149,6.4412184,3273842.033763270825148,476332.957797364331782,3,6.441218376159668
150,0,0,150,6.3630219,3273842.778117250651121,476335.863986817188561,3,6.363021850585938
151,0,0,151,6.3630219,3273843.522471230477095,476338.770176272839308,3,6.363021850585938
152,0,0,152,6.3353724,3273844.266825214028358,476341.676365728490055,3,6.335372447967529
153,0,0,153,6.3724184,3273845.011179199442267,476344.582555183209479,3,6.372418403625488
154,0,0,154,6.3807425,3273845.755533179268241,476347.488744638860226,3,6.380742549896240
155,0,0,155,6.3675475,3273846.499887164682150,476350.394934093579650,3,6.367547512054443
156,0,0,156,6.3473382,3273847.244241144508123,476353.301123549230397,3,6.347338199615479
157,0,0,157,6.3242269,3273847.988595128059387,476356.207313004881144,3,6.324226856231689
158,0,0,158,6.2954016,3273848.732949113473296,476359.113502459600568,3,6.295401573181152
159,0,0,159,6.2697911,3273849.477303093299270,476362.019691915251315,3,6.269791126251221
160,0,0,160,6.2460861,3273850.221657076850533,476364.925881368108094,3,6.246086120605469
161,0,0,161,6.2259860,3273850.966011056676507,476367.832070823758841,3,6.225986003875732
162,0,0,162,6.2259860,3273851.710365042090416,476370.738260278478265,3,6.225986003875732
163,0,0,163,6.3399324,3273852.454719025641680,476373.644449734129012,3,6.339932441711426
164,0,0,164,7.0481606,3273853.199073007330298,476376.550639188848436,3,7.048160552978516
165,0,0,165,7.7996130,3273853.943426990881562,476379.456828644499183,3,7.799612998962402
166,0,0,166,7.6790156,3273854.687780976295471,476382.363018100149930,3,7.679015636444092
167,0,0,167,7.2269254,3273855.432134956121445,476385.269207554869354,3,7.226925373077393
168,0,0,168,7.1289787,3273856.176488935947418,476388.175397010520101,3,7.128978729248047
169,0,0,169,7.0090609,3273856.920842919498682,476391.081586463376880,3,7.009060859680176
170,0,0,170,6.9924164,3273857.665196904912591,476393.987775918096304,3,6.992416381835938
171,0,0,171,7.0465708,3273858.409550884738564,476396.893965373747051,3,7.046570777893066
172,0,0,172,7.1093225,3273859.153904868289828,476399.800154829397798,3,7.109322547912598
173,0,0,173,7.0586162,3273859.898258849978447,476402.706344284117222,3,7.058616161346436
174,0,0,174,7.0468807,3273860.642612833529711,476405.612533739767969,3,7.046880722045898
175,0,0,175,7.0794554,3273861.386966818943620,476408.518723194487393,3,7.079455375671387
176,0,0,176,7.0635338,3273862.131320798769593,476411.424912648275495,3,7.063533782958984
177,0,0,177,7.0519829,3273862.875674782320857,476414.331102105788887,3,7.051982879638672
178,0,0,178,6.9861631,3273863.620028767734766,476417.237291558645666,3,6.986163139343262
179,0,0,179,7.0218329,3273864.364382747560740,476420.143481013365090,3,7.021832942962646
180,0,0,180,7.0314131,3273865.108736731112003,476423.049670469015837,3,7.031413078308105
181,0,0,181,6.9797125,3273865.853090712800622,476425.955859924666584,3,6.979712486267090
182,0,0,182,6.8001237,3273866.597444696351886,476428.862049379386008,3,6.800123691558838
183,0,0,183,7.0062342,3273867.341798681765795,476431.768238835036755,3,7.006234169006348
184,0,0,184,7.0062342,3273868.086152661591768,476434.674428289756179,3,7.006234169006348
185,0,0,185,6.9999213,3273868.830506645143032,476437.580617743544281,3,6.999921321868896
