OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
193,0,0,7871,-15.6548214,3743808.259521484375000,750785.430725097656250,3,-15.654821395874023
194,0,0,7872,-15.6567640,3743805.996520996093750,750783.461303710937500,3,-15.656764030456543
195,0,0,7873,-15.6567640,3743803.733520507812500,750781.491882324218750,3,-15.656764030456543
196,0,0,7874,-15.6561804,3743801.470520019531250,750779.522277832031250,3,-15.656180381774902
197,0,0,7875,-15.6557360,3743799.207275390625000,750777.552917480468750,3,-15.655735969543457
198,0,0,7876,-15.6557360,3743796.944274902343750,750775.583496093750000,3,-15.655735969543457
199,0,0,7877,-15.6562138,3743794.681274414062500,750773.614074707031250,3,-15.656213760375977
200,0,0,7878,-15.6611614,3743792.418273925781250,750771.644470214843750,3,-15.661161422729492
201,0,0,7879,-15.6546097,3743790.155273437500000,750769.675109863281250,3,-15.654609680175781
202,0,0,7880,-15.6578712,3743787.892272949218750,750767.705688476562500,3,-15.657871246337891
203,0,0,7881,-15.6675701,3743785.629089355468750,750765.736328125000000,3,-15.667570114135742
204,0,0,7882,-15.6749640,3743783.366088867187500,750763.766906738281250,3,-15.674963951110840
205,0,0,7883,-15.6749640,3743781.103088378906250,750761.797485351562500,3,-15.674963951110840
206,0,0,7884,-15.6836691,3743778.840087890625000,750759.827880859375000,3,-15.683669090270996
207,0,0,7885,-15.6931429,3743776.577087402343750,750757.858520507812500,3,-15.693142890930176
208,0,0,7886,-15.6931429,3743774.314086914062500,750755.889099121093750,3,-15.693142890930176
209,0,0,7887,-15.7028370,3743772.051086425781250,750753.919677734375000,3,-15.702836990356445
210,0,0,7888,-15.7057829,3743769.788085937500000,750751.950073242187500,3,-15.705782890319824
211,0,0,7889,-15.7057829,3743767.525085449218750,750749.980712890625000,3,-15.705782890319824
212,0,0,7890,-15.6994991,3743765.261901855468750,750748.011291503906250,3,-15.699499130249023
213,0,0,7891,-15.7150259,3743762.998901367187500,750746.041870117187500,3,-15.715025901794434
214,0,0,7892,-15.7240410,3743760.735900878906250,750744.072509765625000,3,-15.724040985107422
215,0,0,7893,-15.7191257,3743758.472900390625000,750742.102905273437500,3,-15.719125747680664
216,0,0,7894,-15.7328348,3743756.209899902343750,750740.133483886718750,3,-15.732834815979004
217,0,0,7895,-15.7414541,3743753.946899414062500,750738.164123535156250,3,-15.741454124450684
218,0,0,7896,-15.7414541,3743751.683715820312500,750736.194702148437500,3,-15.741454124450684
219,0,0,7897,-15.7498407,3743749.420715332031250,750734.225280761718750,3,-15.749840736389160
220,0,0,7898,-15.7578259,3743747.157714843750000,750732.255676269531250,3,-15.757825851440430
221,0,0,7899,-15.7653074,3743744.894714355468750,750730.286315917968750,3,-15.765307426452637
222,0,0,7900,-15.7663593,3743742.631713867187500,750728.316894531250000,3,-15.766359329223633
223,0,0,7901,-15.7741156,3743740.368713378906250,750726.347473144531250,3,-15.774115562438965
224,0,0,7902,-15.7785244,3743738.105712890625000,750724.377929687500000,3,-15.778524398803711
225,0,0,7903,-15.7808723,3743735.842529296875000,750722.408508300781250,3,-15.780872344970703
226,0,0,7904,-15.7838392,3743733.579528808593750,750720.439086914062500,3,-15.783839225769043
227,0,0,7905,-15.7878408,3743731.316528320312500,750718.469726562500000,3,-15.787840843200684
228,0,0,7906,-15.7901449,3743729.053527832031250,750716.500305175781250,3,-15.790144920349121
229,0,0,7907,-15.7901449,3743726.790527343750000,750714.530883789062500,3,-15.790144920349121
230,0,0,7908,-15.7921753,3743724.527526855468750,750712.561279296875000,3,-15.792175292968750
231,0,0,7909,-15.7908058,3743722.264282226562500,750710.591918945312500,3,-15.790805816650391
232,0,0,7910,-15.7941065,3743720.001281738281250,750708.622497558593750,3,-15.794106483459473
233,0,0,7911,-15.7920485,3743717.738281250000000,750706.653076171875000,3,-15.792048454284668
234,0,0,7912,-15.7876596,3743715.475280761718750,750704.683471679687500,3,-15.787659645080566
235,0,0,7913,-15.7886381,3743713.212280273437500,750702.714111328125000,3,-15.788638114929199
236,0,0,7914,-15.7842455,3743710.949279785156250,750700.744689941406250,3,-15.784245491027832
237,0,0,7915,-15.7784262,3743708.686279296875000,750698.775329589843750,3,-15.778426170349121
238,0,0,7916,-15.7726021,3743706.423278808593750,750696.805908203125000,3,-15.772602081298828
239,0,0,7917,-15.7726021,3743704.160278320312500,750694.836303710937500,3,-15.772602081298828
240,0,0,7918,-15.7659378,3743701.897094726562500,750692.866882324218750,3,-15.765937805175781
241,0,0,7919,-15.7585583,3743699.634094238281250,750690.897521972656250,3,-15.758558273315430
242,0,0,7920,-15.7585583,3743697.371093750000000,750688.928100585937500,3,-15.758558273315430
243,0,0,7921,-15.7499504,3743694.878295898437500,750687.299926757812500,3,-15.749950408935547
244,0,0,7922,-15.7409239,3743692.201904296875000,750685.944885253906250,3,-15.740923881530762
245,0,0,7923,-15.7406816,3743689.525329589843750,750684.589721679687500,3,-15.740681648254395
246,0,0,7924,-15.7314425,3743686.848876953125000,750683.234680175781250,3,-15.731442451477051
247,0,0,7925,-15.7314425,3743684.172302246093750,750681.879516601562500,3,-15.731442451477051
